Category,Keyword,Count
Physical exposure,climate change,300
Physical exposure,weather,116
Physical exposure,extreme weather,68
Physical exposure,weather events,27
Physical exposure,Warming,1
Physical exposure,Temperature,5
Physical exposure,Extreme temperature,0
Physical exposure,heatwave,0
Physical exposure,heating season,0
Physical exposure,severe winter,0
Physical exposure,mild winter,0
Physical exposure,normal winter,0
Physical exposure,winter conditions,0
Physical exposure,coldwave,0
Physical exposure,Flooding,0
Physical exposure,the flood,0
Physical exposure,the floods,0
Physical exposure,tsunami,0
Physical exposure,high water,1
Physical exposure,drought,17
Physical exposure,droughts,9
Physical exposure,water scarcity,30
Physical exposure,water stress,14
Physical exposure,precipitation,0
Physical exposure,rainfall,3
Physical exposure,Physical Environmental,2
Physical exposure,hurricane,6
Physical exposure,hurricanes,6
Physical exposure,storms,13
Physical exposure,storm related,0
Physical exposure,storm losses,0
Physical exposure,storm activity,0
Physical exposure,tropical storm,0
Physical exposure,the snow,0
Physical exposure,snowfall,0
Physical exposure,snowstorm,0
Physical exposure,the ice,2
Physical exposure,wildfire,0
Physical exposure,wildfires,0
Physical exposure,air quality,2
Physical exposure,air pollutants,0
Physical exposure,degree days,0
Physical exposure,polar vortex,0
Physical exposure,greenhouse gas,95
Policy related,Carbon tax,8
Policy related,Voluntary removal costs,0
Policy related,Net zero,8
Policy related,Net-zero,0
Policy related,Net-zero GHG emissions,0
Policy related,Forest,43
Policy related,Energy transition,3
Policy related,Adaptation,4
Policy related,Mitigation,0
