PDF Name,climate related,technology,Total Keywords,Total Pages
LSE_III_2013.pdf,0,5,5,132
LSE_III_2014.pdf,0,4,4,164
LSE_III_2015.pdf,0,3,3,152
LSE_III_2016.pdf,0,5,5,160
LSE_III_2017.pdf,0,6,6,168
LSE_III_2018.pdf,0,5,5,160
LSE_III_2019.pdf,1,10,11,166
LSE_III_2020.pdf,2,17,19,186
LSE_III_2021.pdf,7,16,23,198
LSE_III_2022.pdf,4,22,26,222
LSE_III_2023.pdf,6,38,44,238
LSE_BA_2013.pdf,0,50,50,200
LSE_BA_2014.pdf,0,38,38,168
LSE_BA_2015.pdf,0,71,71,184
LSE_BA_2016.pdf,0,77,77,192
LSE_BA_2017.pdf,0,107,107,212
LSE_BA_2018.pdf,0,116,116,224
LSE_BA_2019.pdf,2,158,160,236
LSE_BA_2020.pdf,2,195,197,268
LSE_BA_2021.pdf,4,241,245,280
LSE_BA_2022.pdf,9,296,305,308
LSE_BA_2023.pdf,10,181,191,240
LSE_BARC_2013_9184f89694c14704a459b6f55bfa6554.pdf,0,40,40,436
LSE_BARC_2014_3a78c24d6f564978be6a4bff7fd0cc9b.pdf,0,47,47,348
LSE_BARC_2015_5662aa63e1754f8a87773c4bc36e2a12.pdf,0,62,62,356
LSE_BARC_2016.pdf,0,73,73,380
LSE_BARC_2017.pdf,1,63,64,328
LSE_BARC_2018.pdf,2,93,95,364
LSE_BARC_2019.pdf,2,60,62,344
LSE_BARC_2020.pdf,2,71,73,380
LSE_BARC_2021.pdf,0,6,6,60
LSE_BARC_2022.pdf,29,182,211,526
LSE_BARC_2023.pdf,31,162,193,510
LSE_BDEV_2013.pdf,0,13,13,148
LSE_BDEV_2014.pdf,0,17,17,160
LSE_BDEV_2015.pdf,0,13,13,164
LSE_BDEV_2016.pdf,0,14,14,169
LSE_BDEV_2017.pdf,0,10,10,180
LSE_BDEV_2018.pdf,0,7,7,186
LSE_BDEV_2019.pdf,2,22,24,214
LSE_BDEV_2020.pdf,1,23,24,246
LSE_BDEV_2021.pdf,7,20,27,95
LSE_BDEV_2022.pdf,22,33,55,104
LSE_BDEV_2023.pdf,6,38,44,248
LSE_BEZ_2013.pdf,0,9,9,174
LSE_BEZ_2014.pdf,0,18,18,186
LSE_BEZ_2015.pdf,0,18,18,186
LSE_BEZ_2016.pdf,0,23,23,206
LSE_BEZ_2017.pdf,0,37,37,202
LSE_BEZ_2018.pdf,2,59,61,206
LSE_BEZ_2019.pdf,3,53,56,214
LSE_BEZ_2020.pdf,2,31,33,212
LSE_BEZ_2021.pdf,30,34,64,216
LSE_BEZ_2022.pdf,16,16,32,237
LSE_BEZ_2023.pdf,24,23,47,259
LSE_BKG_2013.pdf,0,3,3,120
LSE_BKG_2014.pdf,0,0,0,62
LSE_BKG_2015.pdf,0,3,3,130
LSE_BKG_2016.pdf,0,8,8,76
LSE_BKG_2017.pdf,0,18,18,80
LSE_BKG_2018.pdf,0,12,12,84
LSE_BKG_2019.pdf,1,12,13,176
LSE_BKG_2020.pdf,4,14,18,200
LSE_BKG_2021.pdf,2,23,25,109
LSE_BKG_2022.pdf,6,34,40,111
LSE_BKG_2023.pdf,6,51,57,113
LSE_BP_2013.pdf,0,132,132,288
LSE_BP_2014.pdf,0,111,111,263
LSE_BP_2015.pdf,0,122,122,266
LSE_BP_2016.pdf,0,127,127,294
LSE_BP_2017.pdf,0,149,149,302
LSE_BP_2018.pdf,0,146,146,328
LSE_BP_2019.pdf,4,128,132,352
LSE_BP_2020.pdf,8,57,65,356
LSE_BP_2021.pdf,10,93,103,396
LSE_BP_2022.pdf,10,96,106,406
LSE_BP_2023.pdf,8,103,111,392
LSE_BATS_2013.pdf,0,15,15,216
LSE_BATS_2014.pdf,0,9,9,222
LSE_BATS_2015.pdf,0,9,9,226
LSE_BATS_2016.pdf,0,14,14,172
LSE_BATS_2017.pdf,0,22,22,272
LSE_BATS_2018.pdf,0,26,26,330
LSE_BATS_2020.pdf,0,79,79,354
LSE_BATS_2021.pdf,9,85,94,390
LSE_BATS_2022.pdf,13,70,83,402
LSE_BATS_2023.pdf,14,84,98,412
NYSE_BTI_2019.pdf,0,36,36,336
LSE_BT_2013.pdf,0,76,76,200
LSE_BT_2014.pdf,0,80,80,213
LSE_BT_2015.pdf,0,20,20,236
LSE_BT_2016.pdf,0,175,175,268
LSE_BT_2017.pdf,0,131,131,289
LSE_BT_2018.pdf,0,88,88,320
LSE_BT_2019.pdf,0,81,81,192
LSE_BT_2020.pdf,2,65,67,206
LSE_BT_2021.pdf,1,75,76,206
LSE_BT_2022.pdf,4,90,94,217
LSE_BT_2023.pdf,15,76,91,240
